Vand ud af køler, Vand ind i køler, Olie
1.168685169549869940e+01,7.649416192178311746e+01,1.790000000000000000e+02
1.168685169549869940e+01,7.649416192178311746e+01,1.780000000000000000e+02
1.168685169549869940e+01,7.649416192178311746e+01,1.790000000000000000e+02
1.168685169549869940e+01,7.649416192178311746e+01,1.760000000000000000e+02
1.173075966534564252e+01,7.649416192178311746e+01,1.780000000000000000e+02
1.173075966534564252e+01,7.649416192178311746e+01,1.780000000000000000e+02
1.173075966534564252e+01,7.649416192178311746e+01,1.780000000000000000e+02
1.173075966534564252e+01,7.649416192178311746e+01,1.730000000000000000e+02
1.173075966534564252e+01,7.649416192178311746e+01,1.780000000000000000e+02
1.173075966534564252e+01,7.649416192178311746e+01,1.760000000000000000e+02
1.173075966534564252e+01,7.678155355150856565e+01,1.760000000000000000e+02
1.173075966534564252e+01,7.678155355150856565e+01,1.760000000000000000e+02
1.177483259919369374e+01,7.678155355150856565e+01,1.780000000000000000e+02
1.177483259919369374e+01,7.678155355150856565e+01,1.760000000000000000e+02
1.177483259919369374e+01,7.678155355150856565e+01,1.760000000000000000e+02
1.177483259919369374e+01,7.678155355150856565e+01,1.760000000000000000e+02
1.177483259919369374e+01,7.678155355150856565e+01,1.780000000000000000e+02
1.177483259919369374e+01,7.678155355150856565e+01,1.760000000000000000e+02
1.177483259919369374e+01,7.678155355150856565e+01,1.760000000000000000e+02
1.177483259919369374e+01,7.678155355150856565e+01,1.780000000000000000e+02
1.181907111681922018e+01,7.678155355150856565e+01,1.760000000000000000e+02
1.181907111681922018e+01,7.707002492309614183e+01,1.780000000000000000e+02
1.181907111681922018e+01,7.707002492309614183e+01,1.760000000000000000e+02
1.181907111681922018e+01,7.707002492309614183e+01,1.760000000000000000e+02
1.181907111681922018e+01,7.707002492309614183e+01,1.760000000000000000e+02
1.181907111681922018e+01,7.707002492309614183e+01,1.780000000000000000e+02
1.186347584032709790e+01,7.707002492309614183e+01,1.760000000000000000e+02
1.186347584032709790e+01,7.707002492309614183e+01,1.760000000000000000e+02
1.186347584032709790e+01,7.707002492309614183e+01,1.780000000000000000e+02
1.186347584032709790e+01,7.707002492309614183e+01,1.760000000000000000e+02
1.186347584032709790e+01,7.735958009317927520e+01,1.760000000000000000e+02
1.186347584032709790e+01,7.735958009317927520e+01,1.760000000000000000e+02
1.186347584032709790e+01,7.735958009317927520e+01,1.760000000000000000e+02
1.186347584032709790e+01,7.735958009317927520e+01,1.760000000000000000e+02
1.190804739415947822e+01,7.735958009317927520e+01,1.760000000000000000e+02
1.190804739415947822e+01,7.735958009317927520e+01,1.760000000000000000e+02
1.190804739415947822e+01,7.735958009317927520e+01,1.760000000000000000e+02
1.190804739415947822e+01,7.735958009317927520e+01,1.760000000000000000e+02
1.195278640510458423e+01,7.735958009317927520e+01,1.760000000000000000e+02
1.195278640510458423e+01,7.735958009317927520e+01,1.760000000000000000e+02
1.195278640510458423e+01,7.735958009317927520e+01,1.760000000000000000e+02
1.195278640510458423e+01,7.765022313363230921e+01,1.760000000000000000e+02
1.195278640510458423e+01,7.765022313363230921e+01,1.760000000000000000e+02
