RPM, Speed, Water-temp (engine), Air-temp manifold, Batt voltage, Pot, MAP, Lambda, Gear Neautral, Oil-press, Water-temp, Oil-temp, unix-tid
 3995,  0, 28, 23,14,  7, 946,0.106250,  2,255, 21, 19,1279448241.362200
 3919,  0, 28, 23,14,  7, 940,0.106250,  2,255, 21, 19,1279448241.414188
 3919,  0, 28, 23,14,  7, 940,0.106250,  2,255, 20, 19,1279448241.474200
 4023,  0, 29, 23,14,  7, 938,0.106250,  2,255, 21, 19,1279448241.530202
 4023,  0, 29, 23,14,  7, 938,0.106250,  2,255, 21, 19,1279448241.590099
 4101,  0, 29, 23,14,  7, 933,0.106250,  2,255, 21, 19,1279448241.646208
 4004,  0, 29, 23,14,  7, 935,0.106250,  2,255, 20, 19,1279448241.702151
 4004,  0, 29, 23,14,  7, 935,0.106250,  2,255, 20, 19,1279448241.766195
 4184,  0, 29, 23,14,  7, 933,0.106250,  2,255, 20, 19,1279448241.818190
 3962,  0, 29, 23,14,  7, 933,0.106250,  2,255, 21, 19,1279448241.874193
 3962,  0, 29, 23,14,  7, 932,0.106250,  1,255, 21, 19,1279448241.934179
 3917,  0, 29, 23,14,  7, 934,0.106250,  1,255, 21, 19,1279448241.998209
 3917,  0, 29, 23,14,  7, 934,0.106250,  1,255, 21, 19,1279448242.054124
 3926,  0, 29, 23,14,  7, 942,0.106250,  2,255, 21, 19,1279448242.102178
 3887,  0, 29, 23,14,  7, 939,0.106250,  2,255, 21, 19,1279448242.162219
 3887,  0, 29, 23,14,  7, 939,0.106250,  2,255, 21, 19,1279448242.222201
 3955,  0, 29, 23,14,  7, 941,0.106250,  2,255, 20, 19,1279448242.278194
 3955,  0, 29, 23,14,  8, 941,0.106250,  3,255, 21, 19,1279448242.338158
 4032,  0, 29, 23,14,  8, 945,0.106250,  3,255, 21, 19,1279448242.390176
 3926,  0, 29, 23,14,  8, 959,0.106250,  3,255, 20, 19,1279448242.450190
 3926,  0, 29, 23,14,  8, 959,0.106250,  1,255, 21, 19,1279448242.510194
 4221,  0, 29, 23,14,  9, 960,0.106250,  1,255, 21, 19,1279448242.566182
 4221,  0, 29, 23,14,  9, 960,0.106250,  2,255, 21, 19,1279448242.622164
 4273,  0, 29, 23,14,  9, 957,0.106250,  1,255, 21, 19,1279448242.678196
 4364,  0, 30, 23,14,  9, 952,0.106250,  2,255, 21, 19,1279448242.738175
 4364,  0, 30, 23,14,  9, 952,0.106250,  2,255, 20, 19,1279448242.798196
 4464,  0, 29, 23,14,  9, 945,0.106250,  2,255, 21, 19,1279448242.850204
 4464,  0, 29, 23,14,  9, 945,0.106250,  2,255, 20, 19,1279448242.918145
 4483,  0, 29, 23,14,  9, 939,0.106250,  2,255, 21, 19,1279448244.498174
 4487,  0, 29, 23,14,  9, 937,0.106250,  2,255, 21, 19,1279448244.502081
 4487,  0, 29, 23,14,  9, 937,0.106250,  1,255, 21, 19,1279448244.502207
 4397,  0, 30, 23,14,  9, 938,0.106250,  2,255, 21, 19,1279448244.526073
 4121,  0, 30, 23,14,  9, 938,0.106250,  1,255, 21, 19,1279448244.530083
 4121,  0, 30, 23,14,  9, 951,0.106250,  2,255, 21, 19,1279448244.530213
 4045,  0, 29, 23,14,  9, 959,0.106250,  2,255, 21, 19,1279448244.534080
 4045,  0, 29, 23,14,  9, 959,0.106250,  2,255, 20, 19,1279448244.550135
 4127,  0, 30, 23,14,  9, 960,0.106250,  2,255, 20, 19,1279448244.550267
 4305,  0, 29, 23,14,  9, 956,0.106250,  2,255, 21, 19,1279448244.554106
 4305,  0, 29, 23,14,  9, 956,0.106250,  2,255, 20, 19,1279448244.574103
 4487,  0, 30, 23,14,  9, 942,0.106250,  2,255, 21, 31,1279448244.578076
 4400,  0, 30, 23,14,  9, 942,0.106250,  2,255, 20, 19,1279448244.610139
 4249,  0, 30, 23,14,  9, 944,0.106250,  2,255, 20, 19,1279448244.638146
 4249,  0, 30, 23,14,  9, 944,0.106250,  2,255, 20, 19,1279448244.698145
 4294,  0, 30, 23,14,  9, 947,0.106250,  2,255, 20, 19,1279448244.750221
 4197,  0, 30, 23,14,  9, 947,0.106250,  2,255, 21, 19,1279448244.810177
 4197,  0, 30, 23,14,  9, 950,0.106250,  2,255, 21, 19,1279448244.870256
 4214,  0, 30, 23,14,  9, 951,0.106250,  2,255, 21, 19,1279448244.926093
 4214,  0, 30, 23,14,  9, 951,0.106250,  1,255, 21, 19,1279448244.982205
 4221,  0, 30, 23,14,  9, 951,0.106250,  2,255, 21, 19,1279448245.038158
 4287,  0, 30, 23,14,  9, 948,0.106250,  2,255, 21, 19,1279448245.098199
 4287,  0, 30, 23,14,  9, 948,0.106250,  2,255, 21, 19,1279448245.158192
 4319,  0, 30, 23,14,  9, 944,0.106250,  2,255, 20, 19,1279448245.214133
 4319,  0, 30, 23,14,  9, 944,0.106250,  2,255, 21, 19,1279448245.270159
 4319,  0, 30, 23,14,  9, 939,0.106250,  2,255, 20, 19,1279448245.326196
 4370,  0, 30, 23,14,  9, 942,0.106250,  2,255, 21, 19,1279448245.386154
 4370,  0, 30, 23,14,  9, 942,0.106250,  1,255, 21, 19,1279448245.446195
 4207,  0, 31, 23,14,  9, 945,0.106250,  2,255, 21, 19,1279448245.498203
 4207,  0, 30, 23,14,  9, 945,0.106250,  2,255, 21, 19,1279448245.558154
 4308,  0, 30, 23,14,  9, 940,0.106250,  1,255, 20, 19,1279448245.614195
 4118,  0, 30, 23,14,  9, 945,0.106250,  2,247, 21, 19,1279448245.674149
